gtap_region,name
ASM,ASM
COK,COK
FJI,FJI
FSM,FSM
GUM,GUM
KIR,KIR
MHL,MHL
MNP,MNP
NCL,NCL
NFK,NFK
NIU,NIU
NRU,NRU
PLW,PLW
PNG,PNG
PYF,PYF
SLB,SLB
TKL,TKL
TON,TON
TUV,TUV
VUT,VUT
WLF,WLF
WSM,WSM
MAC,MAC
MNG,MNG
PRK,PRK
AFG,AFG
BTN,BTN
MDV,MDV
NPL,NPL
BRN,BRN
TLS,TLS
BMU,BMU
GRL,GRL
SPM,SPM
FLK,FLK
GUF,GUF
GUY,GUY
SUR,SUR
BLZ,BLZ
HND,HND
SLV,SLV
ABW,ABW
AIA,AIA
ANT,ANT
ATG,ATG
BHS,BHS
BRB,BRB
CUB,CUB
CYM,CYM
DMA,DMA
DOM,DOM
GLP,GLP
GRD,GRD
HTI,HTI
JAM,JAM
KNA,KNA
LCA,LCA
MSR,MSR
MTQ,MTQ
PRI,PRI
TCA,TCA
TTO,TTO
VCT,VCT
VGB,VGB
VIR,VIR
ISL,ISL
LIE,LIE
MDA,MDA
AND,AND
BIH,BIH
FRO,FRO
GIB,GIB
MCO,MCO
MKD,MKD
SMR,SMR
SCG,Serbia and Montenegro
TJK,TJK
TKM,TKM
UZB,UZB
ARE,ARE
BHR,BHR
IRQ,IRQ
ISR,ISR
JOR,JOR
KWT,KWT
LBN,LBN
OMN,OMN
PSE,PSE
QAT,QAT
SAU,SAU
SYR,SYR
YEM,YEM
DZA,DZA
LBY,LBY
BEN,BEN
BFA,BFA
CIV,CIV
CPV,CPV
GHA,GHA
GIN,GIN
GMB,GMB
GNB,GNB
LBR,LBR
MLI,MLI
MRT,MRT
NER,NER
SHN,SHN
SLE,SLE
TGO,TGO
CAF,CAF
CMR,CMR
COG,COG
GAB,GAB
GNQ,GNQ
STP,STP
TCD,TCD
AGO,AGO
COD,COD
BDI,BDI
COM,COM
DJI,DJI
ERI,ERI
KEN,KEN
MYT,MYT
REU,REU
RWA,RWA
SDN,SDN
SOM,SOM
SYC,SYC
LSO,LSO
NAM,NAM
SWZ,SWZ
